Name,Address,City,Country,Years Open,Link to Gallery Page,Gallery Image,bg_accuracy
L’Association Paris-Amérique Latine,"14, blvd de la Madeleine",Paris,France,1925 - 1930s,http://chnm.gmu.edu/transatlanticencounters/items/show/5151,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/0d50ee1169e8925cb484d6e58e97f79c.jpg,ROOFTOP
Galerie des Editions Bonaparte,"12, rue Bonaparte",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5153,,ROOFTOP
Galerie 23,"23, rue La Boétie",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5154,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/24e26223e951fda57b42e8af8ab4f14a.jpg,ROOFTOP
Galerie André,"3, rue des Saints-Pères",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5155,,ROOFTOP
Galerie d'Art de Montparnasse,"123, blvd du Montparnasse",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5157,,ROOFTOP
Galerie Barbazanges,"109, rue du Faubourg Saint Honoré",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5158,,ROOFTOP
Galerie Barreiro,"30, rue de Seine",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5159,,ROOFTOP
Galerie des Beaux-arts,"10, rue Auber",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5160,,ROOFTOP
Galerie Bernheim-Jeune,"25, blvd de la Madeleine",Paris,France,1906 -present day,http://chnm.gmu.edu/transatlanticencounters/items/show/5161,,ROOFTOP
Galerie Billiet,"80, rue La Boétie",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5162,,RANGE_INTERPOLATED
Galerie B. Weill,"25, rue Victor Masséa",Paris,France,1901 -,http://chnm.gmu.edu/transatlanticencounters/items/show/5164,,ROOFTOP
Galerie Campagne Première,"148, blvd du Montparnasse",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5165,,ROOFTOP
Galerie Carmine,"51, rue de Seine",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5166,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/71833badf1012f19622cd1388022d836.jpg,ROOFTOP
Galerie Castelucho-Diana,"16, rue de la Grande Chaumière",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5168,,ROOFTOP
Galerie Devambez,"43, blvd Malesherbes",Paris,France,1897-1931,http://chnm.gmu.edu/transatlanticencounters/items/show/5171,,ROOFTOP
Galerie Druet,"20, rue Royale",Paris,France,1903-1938,http://chnm.gmu.edu/transatlanticencounters/items/show/5172,,ROOFTOP
Galerie Durand-Ruel,"16, rue Laffitte",Paris,France,1834-1974,http://chnm.gmu.edu/transatlanticencounters/items/show/5174,,RANGE_INTERPOLATED
Galerie Eugène Blot,"11, rue Richepanse",Sartrouville,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5175,,ROOFTOP
Galerie A.G. Fabre,"20, rue de Miromesnil",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5176,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/bd2567fa12cfccec86bf8be7c8094e75.jpg,ROOFTOP
Galerie Georges Bernheim,"40, rue de la Boëtie",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5177,,ROOFTOP
Galerie Georges Petit,"8, rue de sèze",Paris,France,1881-1933,http://chnm.gmu.edu/transatlanticencounters/items/show/5179,,ROOFTOP
Galerie Girard,"1, rue Édouard VII",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5180,,ROOFTOP
Galerie Jean Charpentier,"76, rue du Faubourg Saint Honoré",Paris,France,1924-1960,http://chnm.gmu.edu/transatlanticencounters/items/show/5184,,ROOFTOP
Galerie Jeanne Bucher,"3, rue du Cherche-Midi",Paris,France,1925-present,http://chnm.gmu.edu/transatlanticencounters/items/show/5185,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/0d43992d511d088f5d5eadfcb0bf0fd5.jpg,ROOFTOP
Galerie Joubert et Richebourg,"19, place de la Madeleine",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5188,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/83d93f9217ed10e7d0b21ac22e2dd84e.jpg,ROOFTOP
Galerie Katia Granoff,"19, quai de Conti",Paris,France,1928,http://chnm.gmu.edu/transatlanticencounters/items/show/5189,,ROOFTOP
Galerie L'Effort Moderne,"19, rue de la Baume",Paris,France,1918-1941,http://chnm.gmu.edu/transatlanticencounters/items/show/5193,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b78821b5ba33143d57ed13088c326b0e.jpg,ROOFTOP
Galerie L'Epoque,"22, rue La Boétie",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5194,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/82597c1625687e9e6723a8986d2c0537.jpg,ROOFTOP
Galerie Manuel Frères,"47, rue Dumont d'Urville",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5197,,ROOFTOP
Galerie Marck,"33, rue Bonaparte",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5198,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/caa921e3284def642be578d0ba0b5015.jpg,ROOFTOP
Galerie Monna Lisa,"14, rue Duphot",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5199,,ROOFTOP
Galerie Percier,"38, rue La Boétie",Paris,France,1923-1935,http://chnm.gmu.edu/transatlanticencounters/items/show/5200,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/6f7f5b93dc642c3553951c7f5bb6417e.jpg,ROOFTOP
Galerie Pierre,"13, rue Bonaparte",Paris,France,1924-1963,http://chnm.gmu.edu/transatlanticencounters/items/show/5201,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b30cae08a682008f4862a6c9ea48b721.jpg,ROOFTOP
Galerie Renou et Colle,"164, rue Faubourg Saint-Honoré",Paris,France,1935-1948,http://chnm.gmu.edu/transatlanticencounters/items/show/5202,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/f8154d3a4b49d851624e95a625395900.jpg,ROOFTOP
Galerie Pittoresque,"133, blvd Raspail",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5203,,ROOFTOP
Galerie de Quatre-Chemins,"18, rue Godot-de-Mauroy",Paris,France,1925-1929,http://chnm.gmu.edu/transatlanticencounters/items/show/5204,,ROOFTOP
Galerie Reitlinger,"12, rue La Boétie",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5205,,ROOFTOP
Galerie Rive Gauche,"44, rue de Fleurus",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5206,,ROOFTOP
Galerie Simonson,"19, rue de Caumartin",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5210,,ROOFTOP
Galerie Vavin-Raspail,"28, rue Vavin",Paris,France,1925,http://chnm.gmu.edu/transatlanticencounters/items/show/5213,,ROOFTOP
Galerie Vildrac,"11, rue de Seine",Paris,France,1910 - 1930,http://chnm.gmu.edu/transatlanticencounters/items/show/5215,,RANGE_INTERPOLATED
Galerie Zak,"16, rue de l'Abbaye",Paris,France,ca. 1923-1939,http://chnm.gmu.edu/transatlanticencounters/items/show/5216,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/b7d9003c46073573bc1600553dbb168e.jpg,ROOFTOP
Galerie Zborowski,"26, rue de Seine",Paris,France,1926,http://chnm.gmu.edu/transatlanticencounters/items/show/5217,,ROOFTOP
Jacques Rodrigues Henriques,"20, rue Bonaparte",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5219,,ROOFTOP
Lyre et palette,"6, rue Huyghens",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5222,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/9049f048d9a47655183305b424b88c9d.jpg,ROOFTOP
Musée Galliera,"10, ave Pierre 1er de Serbie",Paris,France,1894 - present,http://chnm.gmu.edu/transatlanticencounters/items/show/5225,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/58d350dc137438719b69bfbfd1f3c4b4.jpg,ROOFTOP
Maison Myrbor,"17, rue Vignon",Paris,France,1925,http://chnm.gmu.edu/transatlanticencounters/items/show/5226,,ROOFTOP
Galerie de la Renaissance,"11, rue Royale",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5227,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/f16665b573d0a18b27455de84b9677aa.jpg,ROOFTOP
Café du Parnasse,"103, blvd du Montparnasse",Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5229,,ROOFTOP
