Address,lon,lat,Name,City,Country,years_open,gallery_page,Gallery Image,bg_accuracy
"14, blvd de la Madeleine",2.3256617,48.869887,L’Association Paris-Amérique Latine,Paris,France,1925 - 1930s,http://chnm.gmu.edu/transatlanticencounters/items/show/5151,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/0d50ee1169e8925cb484d6e58e97f79c.jpg,ROOFTOP
"12, rue Bonaparte",2.3346109,48.85660379999999,Galerie des Editions Bonaparte,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5153,,ROOFTOP
"23, rue La Boétie",2.3163834,48.87389229999999,Galerie 23,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5154,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/24e26223e951fda57b42e8af8ab4f14a.jpg,ROOFTOP
"3, rue des Saints-Pères",2.3331943,48.8578471,Galerie André,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5155,,ROOFTOP
"123, blvd du Montparnasse",2.330939,48.8418305,Galerie d'Art de Montparnasse,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5157,,ROOFTOP
"109, rue du Faubourg Saint Honoré",2.3110662,48.8725153,Galerie Barbazanges,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5158,,ROOFTOP
"30, rue de Seine",2.3366923,48.8555075,Galerie Barreiro,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5159,,ROOFTOP
"10, rue Auber",2.3293681,48.872679,Galerie des Beaux-arts,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5160,,ROOFTOP
"25, blvd de la Madeleine",2.3250577,48.8693721,Galerie Bernheim-Jeune,Paris,France,1906 -present day,http://chnm.gmu.edu/transatlanticencounters/items/show/5161,,ROOFTOP
"80, rue La Boétie",2.3103176,48.8726741,Galerie Billiet,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5162,,RANGE_INTERPOLATED
"25, rue Victor Masséa",2.3379791,48.8808234,Galerie B. Weill,Paris,France,1901 -,http://chnm.gmu.edu/transatlanticencounters/items/show/5164,,ROOFTOP
"148, blvd du Montparnasse",2.3337137,48.8403589,Galerie Campagne Première,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5165,,ROOFTOP
"51, rue de Seine",2.3368992,48.8550172,Galerie Carmine,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5166,http://chnm.gmu.edu/transatlanticencounters/archive/square_thumbnails/71833badf1012f19622cd1388022d836.jpg,ROOFTOP
"16, rue de la Grande Chaumière",2.3302005,48.8421828,Galerie Castelucho-Diana,Paris,France,,http://chnm.gmu.edu/transatlanticencounters/items/show/5168,,ROOFTOP
"43, blvd Malesherbes",2.320192,48.8740108,Galerie Devambez,Paris,France,1897-1931,http://chnm.gmu.edu/transatlanticencounters/items/show/5171,,ROOFTOP
"20, rue Royale",2.323798,48.868658,Galerie Druet,Paris,France,1903-1938,http://chnm.gmu.edu/transatlanticencounters/items/show/5172,,ROOFTOP
