address,lon,lat
"64, Avenue du Maine",2.3216734,48.8400966
"21, rue de la Harpe Ve",2.3447034,48.8523465
"3, rue des Beaux-Arts, Vie",2.336191,48.856271
"5, avenue Philippe Le Boucher, Neuilly-sur-Seine",2.2767933,48.8837459
"9, rue Armand-Moisant",2.3183418,48.8417715
"157, rue de Rome",2.3151309,48.8868275
"31, avenue Pierre 1er-de-Serbie",2.2985314,48.8673362
"11, square Delambre (XVe)",2.3276533,48.8405421
"2, rue du Louvre (1920)",2.3414001,48.8617724
"5, Villa Méquillet, Neuilly-sur-Seine (1922)",2.2785032,48.8839251
"9, rue Hégéesyppe Moreau (1923-Jan. 1925)",2.3270749,48.8870277
19 boulevard Berthier (by Apr. 1926),2.3015024,48.8886774
"14, cité Falguière (XIVe)",2.3120543,48.8408155
"62, rue Lauriston, XVIe",2.2896,48.8689961
"20, rue Freycinet XVIe",2.2964916,48.8667128
"41, avenue d'Iéna XVIe",2.2954194,48.8688257
"6, rue Tournefort",2.348011,48.8440956
"14, cité Falguière, Paris (XIVe)",2.3120543,48.8408155
"14bis, rue de la Grande Chaumière (with Castellanos)",2.3305095,48.8422079
"19, rue Daguerre, XIVe",2.3295806,48.8338369
"27, rue du Rome",2.3231677,48.8766006
"51 bis, rue cher",2.39982,48.8646
rue Daguerre,2.3307093,48.8334947
"19, avenue Aristide-Duru",2.32718,48.8098
"4, rue Texel (1927)",2.319513,48.8370296
"33, rue Delambre (1929)",2.3262614,48.8413856
"3, rue Boileau, Crosne, Seine-et-Oise (1922)",2.4602256,48.7147884
"57, Carvès, Montrouge, Seine (1924)",2.3209951,48.8126537
"3 bis, rue de Bagneux (1912)",2.3231654,48.8473547
243 rue St. Honoré (1913),2.3276367,48.8668324
"13, rue Dupin VIe",2.3255475,48.8497466
Arcueil,2.334955,48.80486
"66, rue de la Pompe",2.2766661,48.8631842
"7, impasse du Rouet",2.3254145,48.8276895
"77, rue Denfert-Rochereau",2.3342334,48.8359734
"36, avenue Châtillon",2.31515,48.823
"52, rue Vercingétorix (XIVe)",2.3172233,48.8368924
"83, rue de la Tombe-Issoire",2.3325286,48.8273084
"51 bis, rue Cler",2.3069356,48.8562664
"2, avenue de La Motte-Picquet VIIe",2.3096437,48.857295
"Chez M. Mori 44, bis, avenue de Châtillon XIVe",2.31515,48.823
"10, villa Duthy XIVe (1925)",2.3167928,48.827803
"5, rue de Plaisance",2.3199007,48.8322931
Montmartre,2.3430895,48.8861929
"31, rue Campagne-Première",2.3315226,48.8388713
"16, rue Perceval",2.3163585,49.8849504
"near Porte d'Orléans, XIVe",2.3261548,48.8229433
"84, rue d'assas VIe",2.3325567,48.8443691
"8, rue de la Grande Chaumière",2.3308215,48.8423849
"68, rue Asselin, Cherbourg",-1.635231,49.6404723
"Hotel Central, rue du Maine",2.3238132,48.8405056
"95, rue de Vaugirard",2.3225615,48.8455051
"1, rue Bréa",2.3304798,48.8436433
"38, rue du Vieux-Pont-de-Sèvres (Boulogne)",2.2460024,48.832979
"70, rue Damrémont, (XVIIIe)",2.3349763,48.8911496
"17, rue du Sommerard, Ve",2.3462397,48.8499394
"rue Hippolite Maindrov, Montrouge (studio)",2.3219549,48.8314938
"125, Boulevard du Montparnasse (American Art Co.)",2.3265248,48.8430905
"88, boulevard Saint-Michel (VI)",2.3376063,48.8420016
"15, rue des Dames-Augustines, Neuilly-sur-Seine",2.2823432,48.8864236
"93, rue Jouffroy (1912)",2.3024588,48.8822088
"15, rue Hégésippe-Moreau (1919)",2.3270981,48.8876194
"74, boulevard Beaumarchais (1923)",2.3680615,48.8587092
"15, rue Hégésippe-Moreau (1927)",2.3270981,48.8876194
"17, rue Campagne-Première",2.3325339,48.839616
"44, Elysée Reclus",2.29854,48.8577
"74, boulevard Beaumarchais, XIe",2.3680615,48.8587092
"15, rue Lesueur, (XVIe)",2.2873431,48.8748759
 20 boulevard Flamdrom XVIe,2.2727107,48.8660401
"4, rue Belloni, Paris (XVe)",2.2827086,48.8610838
"1, rue Racine, Paris (Vie) (1924)",2.3422701,48.8501938
"1, avenue de la République XIe (1925)",2.3660679,48.8671134
hotel on Passage Dareaux,2.3397714,48.8316043
"93, boulevard Berthier (XVIIe)",2.2945209,48.8856867
"8, rue Geoffroy-Maris, Paris (IXe)",2.3440206,48.8734465
"13, Place du Phantéon (Latin Quarter)",2.3454379,48.8455307
D'Alésia et Tombe Issoire,2.3325422,48.8278228
"53, rue Beaunier, XIVe",2.3266085,48.8245698
"41, rue Pascal",2.3486838,48.8360949
"64, avenue du Maine, Paris (XIVe), shared studio with Juan José Sicre",2.3216734,48.8400966
"7, rue Joseph-Bara",2.3335611,48.8419364
"216, boulevard Raspail",2.3297034,48.8406758
